,datasetId,dsName,sumFormula,adduct,type
23475,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C50H80NO10P,-H,on
23476,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C52H88NO8P,-H,on
23477,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C47H83O13P,-H,on
23478,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C44H88O13P2,-H,on
23479,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C48H91NO11S,-H,on
23480,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C50H84NO10P,-H,on
23481,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C47H85O13P,-H,on
23482,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C50H82NO10P,-H,on
23483,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C47H87O13P,-H,on
23484,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C50H86NO10P,-H,on
23485,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C48H93NO11S,-H,on
23486,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C59H88O6,-H,on
23487,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C49H82NO12P,-H,on
23488,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C46H74O17,-H,on
23489,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C50H89NO10P,-H,on
23490,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C50H88NO10P,-H,on
23491,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C51H91NO10P,-H,on
23492,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C52H90NO10P,-H,on
23493,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C52H92NO10P,-H,on
23494,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C52H93NO10P,-H,on
23495,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C43H48O23,-H,off
23496,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C52H100NO10P,-H,on
23497,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C52H98NO10P,-H,on
23498,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C48H78O13P2,-H,off
23499,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C46H78O19,-H,on
23502,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C48H82O19,-H,on
23503,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C57H85N9O9,-H,on
23504,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C39H68N7O17P3S,-H,on
23505,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C36H58O29P2,-H,off
23507,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C47H85O19P3,-H,on
23508,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C54H101NO18,-H,on
23509,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C45H70N7O17P3S,-H,off
23525,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C79H142O17P2,-H,on
23526,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C81H142O17P2,-H,on
23527,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C83H140O17P2,-H,on
23528,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C81H148O17P2,-H,on
23529,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C81H146O17P2,-H,on
23530,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C81H144O17P2,-H,on
23531,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C83H142O17P2,-H,on
23532,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C83H144O17P2,-H,on
23533,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C83H146O17P2,-H,on
23534,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C83H148O17P2,-H,on
23535,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C7H6O4,+Na,off
23536,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C10H8S,+K,off
23538,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C12H8O4,+H,off
23540,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C12H8O4,+Na,off
23541,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C9H12O5,+K,off
23543,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C18H32O,+H,on
23544,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C8H20NO6P,+K,on
23545,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C14H17NO4,+K,on
23547,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C11H10N2OS2,+H,off
23548,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C10H12O5,+K,off
23552,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C11H15NO4,+K,off
23553,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C11H12N2O2S2,+H,off
23554,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C14H14S2,+Na,off
23555,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C5H10N2O7P2,+H,off
23556,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C8H10O7S,+Na,off
23557,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C9H14O2S3,+Na,off
23558,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C10H8O7S,+H,off
23559,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C15H12O5,+H,off
23560,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C11H14NO7,+H,off
23561,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C11H12N2O4,+K,off
23563,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C14H10O6,+H,off
23565,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C9H16N2O6S,+H,off
23566,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C14H11Cl2NO2,+H,off
23567,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C14H10O6,+Na,off
23568,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C13H10O6,+Na,off
23571,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C8H16N2O4S2,+K,off
23572,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C13H17ClN2O2,+K,off
23574,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C13H19ClN2O2,+K,off
23575,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C13H18O5S,+Na,off
23576,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C14H30N4O2,+Na,on
23577,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C11H12O8,+K,off
23578,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C15H28O5,+Na,off
23579,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C14H16O8,+H,off
23580,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C15H18N2O3,+K,off
23581,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C20H12N2O2,+H,off
23582,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C11H18N2O7,+Na,off
23583,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C16H18O5,+Na,off
23584,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C11H11F3N2O3,+K,off
23585,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C12H14N4O2S,+K,off
23586,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C18H10O6,+H,off
23587,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C16H13ClN2O2,+Na,off
23588,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C13H16O6S,+Na,off
23589,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C17H26N4O,+Na,on
23590,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C14H30N4O2,+K,on
23591,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C14H12O5S,+K,off
23592,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C11H16O9,+K,off
23593,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C10H19O6PS2,+H,off
23595,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C14H14O8,+Na,off
23597,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C9H16N2O5S2,+K,off
23598,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C10H20N2S4,+K,off
23599,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C10H16N2O4S3,+Na,off
23601,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C19H12O7,+H,off
23602,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C17H12ClF3N2O,+H,off
23603,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C14H18O7S,+Na,off
23605,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C19H12O7,+Na,off
23606,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C16H16O8,+K,off
23607,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C17H12ClF3N2O,+Na,off
23608,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C16H18O8,+K,off
23611,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C9H4Cl3IO,+Na,on
23612,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C22H22O7,+H,on
23613,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C23H45NO4,+H,on
23615,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C23H43NO4,+H,on
23616,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C17H16O9,+K,off
23617,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C20H14O8,+Na,off
23618,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C17H18O9,+K,off
23619,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C16H18O9S,+Na,off
23621,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C24H38O4,+Na,off
23622,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C19H37O6P,+Na,on
23623,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C17H14Cl2F2N2O4,+H,off
23624,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C21H39O6P,+H,on
23626,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C17H18O10,+K,off
23627,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C20H16O9,+Na,off
23628,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C22H42O6,+Na,off
23629,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C25H47NO4,+H,on
23630,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C25H49NO4,+H,on
23637,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C21H14O9,+Na,off
23638,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C18H18O10,+K,off
23642,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C21H41O6P,+Na,on
23643,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C25H42O4,+K,on
23645,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C25H38O5,+Na,off
23646,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C21H14O10,+Na,off
23647,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C18H18O11,+K,off
23648,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C15H17N5O6S2,+Na,off
23649,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C16H18O13S,+H,off
23650,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C21H16O10,+Na,off
23651,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C16H23N3O10,+K,off
23654,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C21H41O7P,+Na,on
23656,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C21H14O10,+K,off
23657,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C18H20O12,+K,off
23660,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C21H18O11,+Na,off
23661,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C18H22O12,+K,off
23665,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C24H50NO6P,+H,on
23666,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C12H22N2O10S4,+H,off
23672,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C29H57NO4,+H,on
23673,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C23H43O7P,+Na,on
23677,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C14H18N5O11P,+K,off
23678,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C26H52NO6P,+H,on
23679,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C24H50NO7P,+Na,on
23680,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C26H54NO7P,+H,on
23681,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C24H48NO7P,+K,on
23682,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C35H62O4,+H,on
23683,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C35H66O4,+H,on
23684,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C35H64O4,+H,on
23685,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C26H52NO7P,+K,on
23686,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C28H50NO7P,+H,on
23687,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C15H22N2O16P2,+H,on
23688,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C37H68O4,+H,on
23689,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C21H39N7O12,+H,on
23690,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C37H70O5,+Na,on
23692,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C6H8O3,+H,off
23693,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C7H5NS,+H,off
23694,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C7H5NO2,+H,off
23695,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C6H10O4,+H,off
23696,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C7H6O4,+H,off
23697,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C3H10NO4P,+H,off
23700,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C9H11NO3,+H,off
23701,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C9H8O4,+H,off
23702,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C9H9NO3,+H,off
23703,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C7H15NO3,+H,on
23704,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C10H26N4,+H,on
23705,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C11H8O5,+H,off
23706,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C13H9NO,+Na,off
23707,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C8H18O5,+Na,off
23708,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C12H8O4,+H,off
23709,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C8H16N2O4,+Na,off
23710,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C11H13N3O,+Na,off
23711,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C8H11N5O3,+H,off
23714,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C13H8O4,+H,off
23715,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C6H5ClO5,+K,on
23716,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C13H17NO3,+H,off
23717,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C9H18S3,+Na,off
23718,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C13H8O5,+H,off
23719,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C14H24O3,+H,off
23720,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C12H24O3,+Na,off
23721,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C13H10O5,+H,off
23723,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C11H12O5S,+H,off
23724,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C13H17NO3,+Na,on
23725,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C12H20O6,+H,off
23726,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C13H18O4,+Na,off
23727,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C14H26O4,+H,off
23728,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C8H20NO6P,+H,on
23729,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C14H9NO3,+Na,off
23730,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C11H16N2O4,+Na,off
23733,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C13H10O5,+Na,off
23734,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C13H8O5,+Na,off
23735,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C11H11N3O5,+H,off
23737,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C9H12O6S,+Na,off
23738,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C15H10O5,+H,off
23739,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C13H14O2S,+K,off
23740,2018-05-15_22h52m29s,HK_S2_N2_20um_New,C10H10N4O2S,+Na,off
